Row ID,Order ID,Order Date,Ship Date,Ship Mode,Days to Ship,Customer ID,Customer Name,Segment,Country/Region,City,State/Province,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit Margin
13,US-2023-167199,1/6/2023,1/10/2023,Standard Class,4,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,South,TEC-PH-10004539,Technology,Phones,Wireless Extenders Zboost Yx545 Soho Signal Booster,755.96,4,0,204.1092,0.27
14,US-2023-167199,1/6/2023,1/10/2023,Standard Class,4,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,South,TEC-PH-10004977,Technology,Phones,Ge 30524Ee4,391.98,2,0,113.6742,0.29
15,US-2023-105417,1/7/2023,1/12/2023,Standard Class,5,VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,Central,FUR-FU-10004864,Furniture,Furnishings,Howard Miller 14-1/2 Diameter Chrome Round Wall Clock,76.728,3,0.6,-53.7096,-0.7
16,US-2023-105417,1/7/2023,1/12/2023,Standard Class,5,VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,Central,OFF-BI-10003708,Office Supplies,Binders,Acco Four Pocket Poly Ring Binder With Label Holder,10.43,7,0.8,-18.2525,-1.75
17,US-2023-135405,1/9/2023,1/13/2023,Standard Class,4,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,Central,OFF-AR-10004078,Office Supplies,Art,Newell 312,9.344,2,0.2,1.168,0.12
18,US-2023-135405,1/9/2023,1/13/2023,Standard Class,4,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,Central,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 Gb,31.2,3,0.2,9.75,0.31
19,US-2023-149020,1/10/2023,1/15/2023,Standard Class,5,AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,South,FUR-FU-10000965,Furniture,Furnishings,Howard Miller 11-1/2 Diameter Ridgewood Wall Clock,51.94,1,0,21.2954,0.41
20,US-2023-149020,1/10/2023,1/15/2023,Standard Class,5,AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,South,OFF-LA-10004272,Office Supplies,Labels,Avery 482,2.89,1,0,1.3583,0.47
21,US-2023-130092,1/11/2023,1/14/2023,First Class,3,SV-20365,Seth Vernon,Consumer,United States,Dover,Delaware,East,FUR-FU-10000010,Furniture,Furnishings,Dax Value U-Channel Document Frames,9.94,2,0,3.0814,0.31
22,US-2023-157147,1/13/2023,1/18/2023,Standard Class,5,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,West,FUR-BO-10003034,Furniture,Bookcases,O'Sullivan Elevations Bookcase,333.999,3,0.15,3.9294,0.01
23,US-2023-109232,1/13/2023,1/16/2023,Second Class,3,ND-18370,Natalie DeCherney,Consumer,United States,Mount Pleasant,South Carolina,South,FUR-CH-10000422,Furniture,Chairs,Global Highback Leather Tilter In Burgundy,545.94,6,0,87.3504,0.16
24,US-2023-157147,1/13/2023,1/18/2023,Standard Class,5,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,West,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters By Sanford,19.9,5,0,6.567,0.33
25,US-2023-118192,1/13/2023,1/18/2023,Standard Class,5,MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,East,OFF-BI-10003476,Office Supplies,Binders,Avery Metallic Poly Binders,3.438,2,0.7,-2.5212,-0.73
26,US-2023-162775,1/13/2023,1/15/2023,Second Class,2,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,South,OFF-BI-10004187,Office Supplies,Binders,3-Ring Staple Pack,5.64,3,0,2.7072,0.48
27,US-2023-162775,1/13/2023,1/15/2023,Second Class,2,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,South,OFF-EN-10001532,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,50.94,3,0,25.47,0.5
28,US-2023-162775,1/13/2023,1/15/2023,Second Class,2,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,South,OFF-EN-10001990,Office Supplies,Envelopes,Staple Envelope,11.36,2,0,5.3392,0.47
29,US-2023-118192,1/13/2023,1/18/2023,Standard Class,5,MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,East,OFF-PA-10002947,Office Supplies,Paper,Xerox 1923,37.408,7,0.2,13.0928,0.35
30,US-2023-162775,1/13/2023,1/15/2023,Second Class,2,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,South,OFF-ST-10000025,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,572.58,6,0,34.3548,0.06
31,US-2023-157147,1/13/2023,1/18/2023,Standard Class,5,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,West,OFF-ST-10000078,Office Supplies,Storage,Tennsco 6- And 18-Compartment Lockers,1325.85,5,0,238.653,0.18
32,US-2023-162775,1/13/2023,1/15/2023,Second Class,2,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,South,TEC-AC-10003174,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,646.74,6,0,258.696,0.4
33,US-2023-149524,1/14/2023,1/15/2023,First Class,1,BS-11590,Brendan Sweed,Corporate,United States,Philadelphia,Pennsylvania,East,FUR-BO-10003433,Furniture,Bookcases,Sauder Cornerstone Collection Library,61.96,4,0.5,-53.2856,-0.86
34,US-2023-103366,1/15/2023,1/17/2023,First Class,2,EH-13990,Erica Hackney,Consumer,United States,Roswell,Georgia,South,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse For Web Scrolling,149.95,5,0,65.978,0.44
35,US-2023-115791,1/16/2023,1/18/2023,Second Class,2,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-FU-10001095,Furniture,Furnishings,Dax Black Cherry Wood-Tone Poster Frame,127.104,6,0.2,28.5984,0.23
36,US-2023-115791,1/16/2023,1/18/2023,Second Class,2,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-BI-10001575,Office Supplies,Binders,Gbc Linen Binding Covers,18.588,2,0.7,-13.6312,-0.73
37,US-2023-115791,1/16/2023,1/18/2023,Second Class,2,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-LA-10001074,Office Supplies,Labels,Round Specialty Laser Printer Labels,30.072,3,0.2,10.1493,0.34
38,US-2023-115791,1/16/2023,1/18/2023,Second Class,2,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,East,TEC-PH-10004614,Technology,Phones,At&T 841000 Phone,124.2,3,0.4,-31.05,-0.25
39,US-2023-123477,1/18/2023,1/21/2023,Second Class,3,DW-13195,David Wiener,Corporate,United States,Springfield,Oregon,West,OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,64.864,4,0.2,6.4864,0.1
40,US-2023-146591,1/19/2023,1/20/2023,First Class,1,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,West,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase In Odessa Pine,181.47,5,0.7,-320.597,-1.77
41,US-2023-146591,1/19/2023,1/20/2023,First Class,1,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,West,OFF-BI-10003676,Office Supplies,Binders,Gbc Standard Recycled Report Covers,32.34,10,0.7,-23.716,-0.73
42,US-2023-146591,1/19/2023,1/20/2023,First Class,1,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,West,OFF-EN-10002504,Office Supplies,Envelopes,Tyvek  Top-Opening Peel & Seel Envelopes,108.72,5,0.2,36.693,0.34
43,US-2023-146591,1/19/2023,1/20/2023,First Class,1,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,West,OFF-PA-10000659,Office Supplies,Paper,Tops Carbonless Receipt Book,56.064,4,0.2,19.6224,0.35
44,US-2023-147627,1/20/2023,1/26/2023,Standard Class,6,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,South,FUR-CH-10002331,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs With Adjustable Arms,1067.94,3,0,224.2674,0.21
45,US-2023-167927,1/20/2023,1/26/2023,Standard Class,6,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,Central,FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,14.73,3,0,4.8609,0.33
46,US-2023-167927,1/20/2023,1/26/2023,Standard Class,6,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,Central,FUR-FU-10002918,Furniture,Furnishings,Eldon Clustermat Chair Mat With Cordless Antistatic Protection,272.94,3,0,30.0234,0.11
47,US-2023-147627,1/20/2023,1/26/2023,Standard Class,6,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,South,FUR-FU-10003194,Furniture,Furnishings,Eldon Expressions Desk Accessory,38.6,4,0,11.58,0.3
48,US-2023-148614,1/20/2023,1/25/2023,Standard Class,5,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,West,FUR-FU-10003194,Furniture,Furnishings,Eldon Expressions Desk Accessory,19.3,2,0,5.79,0.3
49,US-2023-167927,1/20/2023,1/26/2023,Standard Class,6,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,Central,OFF-AP-10002311,Office Supplies,Appliances,Holmes Replacement Filter For Hepa Air Cleaner,247.716,4,0.1,93.5816,0.38
50,US-2023-147627,1/20/2023,1/26/2023,Standard Class,6,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,South,OFF-AR-10002375,Office Supplies,Art,Newell 351,22.96,7,0,6.6584,0.29
51,US-2023-147627,1/20/2023,1/26/2023,Standard Class,6,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,South,OFF-AR-10003811,Office Supplies,Art,Newell 327,6.63,3,0,1.7901,0.27
52,US-2023-167927,1/20/2023,1/26/2023,Standard Class,6,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,Central,OFF-AR-10004456,Office Supplies,Art,Panasonic Kp-4Abk Battery-Operated Pencil Sharpener,43.92,3,0,12.7368,0.29
53,US-2023-167927,1/20/2023,1/26/2023,Standard Class,6,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,Central,OFF-BI-10000605,Office Supplies,Binders,Acco Pressboard Covers With Storage Hooks,19.05,5,0,8.9535,0.47
54,US-2023-147774,1/20/2023,1/26/2023,Standard Class,6,MM-18280,Muhammed MacIntyre,Corporate,United States,Smyrna,Tennessee,South,OFF-BI-10003091,Office Supplies,Binders,Gbc Docubind Tl200 Manual Binding Machine,67.194,1,0.7,-51.5154,-0.77
55,US-2023-167927,1/20/2023,1/26/2023,Standard Class,6,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,Central,OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders,29.7,5,0,13.365,0.45
56,US-2023-147627,1/20/2023,1/26/2023,Standard Class,6,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,South,OFF-EN-10001539,Office Supplies,Envelopes,Staple Envelope,23.34,3,0,10.9698,0.47
57,US-2023-148614,1/20/2023,1/25/2023,Standard Class,5,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,West,OFF-PA-10002893,Office Supplies,Paper,Wirebound Service Call Books,19.36,2,0,9.2928,0.48
58,US-2023-167927,1/20/2023,1/26/2023,Standard Class,6,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,Central,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,13.98,1,0,4.0542,0.29
59,US-2023-167927,1/20/2023,1/26/2023,Standard Class,6,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,Central,OFF-ST-10003123,Office Supplies,Storage,Fellowes Bases And Tops For Staxonsteel/High-Stak Systems,66.58,2,0,15.9792,0.24
60,US-2023-147627,1/20/2023,1/26/2023,Standard Class,6,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,South,TEC-PH-10001061,Technology,Phones,Apple Iphone 5C,699.93,7,0,181.9818,0.26
61,US-2023-110422,1/21/2023,1/23/2023,Second Class,2,TB-21400,Tom Boeckenhauer,Consumer,United States,Miami,Florida,South,FUR-FU-10001889,Furniture,Furnishings,Ultra Door Pull Handle,25.248,3,0.2,4.1028,0.16
62,CA-2023-115238,1/21/2023,1/24/2023,Standard Class,3,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,East,FUR-FU-10001025,Furniture,Furnishings,Eldon Imàge Series Desk Accessories,24.3,5,0,10.45,0.43
63,CA-2023-115238,1/21/2023,1/24/2023,Standard Class,3,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,East,FUR-FU-10002445,Furniture,Furnishings,Dax Two-Tone Rosewood/Black Document Frame,9.48,1,0,3.79,0.4
64,CA-2023-115238,1/21/2023,1/24/2023,Standard Class,3,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,East,FUR-FU-10002960,Furniture,Furnishings,Eldon 200 Class Desk Accessories,31.4,5,0,13.19,0.42
65,CA-2023-115238,1/21/2023,1/24/2023,Standard Class,3,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,East,OFF-PA-10002689,Office Supplies,Paper,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. And 88 Bright),6.48,1,0,3.11,0.48
66,CA-2023-115238,1/21/2023,1/24/2023,Standard Class,3,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,East,TEC-PH-10001300,Technology,Phones,Ikross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush For Apple Iphone 5S 5C 5,209.5,10,0,58.66,0.28
67,US-2023-146997,1/23/2023,1/27/2023,Standard Class,4,SG-20605,Speros Goranitis,Consumer,United States,Lafayette,Indiana,Central,OFF-FA-10003467,Office Supplies,Fasteners,Alliance Big Bands Rubber Bands,5.94,3,0,0,0
68,US-2023-102645,1/23/2023,1/28/2023,Standard Class,5,IM-15055,Ionia McGrath,Consumer,United States,Las Vegas,Nevada,West,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,40.08,6,0,19.2384,0.48
69,US-2023-167997,1/26/2023,1/29/2023,First Class,3,CA-11965,Carol Adams,Corporate,United States,Rapid City,South Dakota,Central,FUR-BO-10004409,Furniture,Bookcases,Safco Value Mate Series Steel Bookcases,141.96,2,0,39.7488,0.28
70,US-2023-155502,1/26/2023,1/31/2023,Standard Class,5,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,South,FUR-FU-10001847,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,12.42,3,0,4.4712,0.36
71,US-2023-155502,1/26/2023,1/31/2023,Standard Class,5,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,South,FUR-FU-10004587,Furniture,Furnishings,Ge General Use Halogen Bulbs,62.82,3,0,30.7818,0.49
72,US-2023-167997,1/26/2023,1/29/2023,First Class,3,CA-11965,Carol Adams,Corporate,United States,Rapid City,South Dakota,Central,OFF-BI-10001758,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,10.68,2,0,5.0196,0.47
73,US-2023-155502,1/26/2023,1/31/2023,Standard Class,5,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,South,OFF-PA-10000380,Office Supplies,Paper,Rediform Incoming/Outgoing Call Register,16.68,2,0,8.34,0.5
74,US-2023-155502,1/26/2023,1/31/2023,Standard Class,5,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,South,OFF-PA-10003072,Office Supplies,Paper,Eureka Recycled Copy Paper 8 1/2 X 11,19.44,3,0,9.3312,0.48
75,US-2023-155502,1/26/2023,1/31/2023,Standard Class,5,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,South,OFF-ST-10004337,Office Supplies,Storage,Safco Commercial Wire Shelving,489.92,8,0,0,0
76,US-2023-155502,1/26/2023,1/31/2023,Standard Class,5,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,South,TEC-PH-10002103,Technology,Phones,Jabra Speak 410,187.98,2,0,52.6344,0.28
77,US-2023-155502,1/26/2023,1/31/2023,Standard Class,5,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,South,TEC-PH-10004833,Technology,Phones,Macally Suction Cup Mount,155.35,13,0,0,0
78,US-2023-117163,1/27/2023,2/2/2023,Standard Class,6,EJ-13720,Ed Jacobs,Consumer,United States,San Diego,California,West,FUR-TA-10003469,Furniture,Tables,Balt Split Level Computer Training Table,333,3,0.2,-16.65,-0.05
79,US-2023-117163,1/27/2023,2/2/2023,Standard Class,6,EJ-13720,Ed Jacobs,Consumer,United States,San Diego,California,West,OFF-AR-10003179,Office Supplies,Art,Dixon Ticonderoga Core-Lock Colored Pencils,36.44,4,0,12.0252,0.33
80,US-2023-117163,1/27/2023,2/2/2023,Standard Class,6,EJ-13720,Ed Jacobs,Consumer,United States,San Diego,California,West,OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File For Hanging File Folders,57.23,1,0,14.3075,0.25
81,US-2023-100328,1/28/2023,2/3/2023,Standard Class,6,JC-15340,Jasper Cacioppo,Consumer,United States,New York City,New York,East,OFF-BI-10000343,Office Supplies,Binders,Pressboard Covers With Storage Hooks,3.928,1,0.2,1.3257,0.34
82,US-2023-134103,1/30/2023,2/4/2023,Standard Class,5,MV-18190,Mike Vittorini,Consumer,United States,Detroit,Michigan,Central,OFF-PA-10001204,Office Supplies,Paper,Xerox 1972,10.56,2,0,4.752,0.45
83,US-2023-134103,1/30/2023,2/4/2023,Standard Class,5,MV-18190,Mike Vittorini,Consumer,United States,Detroit,Michigan,Central,OFF-ST-10000991,Office Supplies,Storage,Space Solutions Hd Industrial Steel Shelving.,229.94,2,0,6.8982,0.03
84,US-2023-115161,1/31/2023,2/2/2023,First Class,2,LC-17050,Liz Carlisle,Consumer,United States,Mission Viejo,California,West,FUR-BO-10003966,Furniture,Bookcases,Sauder Facets Collection Library,290.666,2,0.15,3.4196,0.01
85,US-2023-140795,2/1/2023,2/3/2023,First Class,2,BD-11500,Bradley Drucker,Consumer,United States,Green Bay,Wisconsin,Central,TEC-AC-10001432,Technology,Accessories,Enermax Aurora Lite Keyboard,468.9,6,0,206.316,0.44
86,US-2023-123400,2/2/2023,2/9/2023,Standard Class,7,EB-13930,Eric Barreto,Consumer,United States,Saint Petersburg,Florida,South,OFF-BI-10000666,Office Supplies,Binders,Surelock Post Binders,18.336,2,0.7,-12.224,-0.67
87,US-2023-139857,2/2/2023,2/6/2023,Standard Class,4,CD-12790,Cynthia Delaney,Home Office,United States,San Diego,California,West,OFF-FA-10001843,Office Supplies,Fasteners,Staples,12.35,5,0,5.8045,0.47
88,US-2023-123400,2/2/2023,2/9/2023,Standard Class,7,EB-13930,Eric Barreto,Consumer,United States,Saint Petersburg,Florida,South,TEC-PH-10002890,Technology,Phones,At&T 17929 Lendline Telephone,180.96,5,0.2,13.572,0.07
89,US-2023-111059,2/3/2023,2/6/2023,Second Class,3,TB-21400,Tom Boeckenhauer,Consumer,United States,Seattle,Washington,West,OFF-BI-10002827,Office Supplies,Binders,Avery Durable Poly Binders,13.272,3,0.2,4.3134,0.33
90,US-2023-111059,2/3/2023,2/6/2023,Second Class,3,TB-21400,Tom Boeckenhauer,Consumer,United States,Seattle,Washington,West,OFF-BI-10004593,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,83.84,2,0.2,27.248,0.33
91,US-2023-104808,2/4/2023,2/8/2023,Second Class,4,MH-17440,Mark Haberlin,Corporate,United States,Escondido,California,West,OFF-BI-10003676,Office Supplies,Binders,Gbc Standard Recycled Report Covers,17.248,2,0.2,6.0368,0.35
92,US-2023-107181,2/4/2023,2/8/2023,Standard Class,4,DB-13270,Deborah Brumfield,Home Office,United States,San Diego,California,West,OFF-BI-10004230,Office Supplies,Binders,Gbc Recycled Grain Textured Covers,82.896,3,0.2,29.0136,0.35
93,US-2023-107181,2/4/2023,2/8/2023,Standard Class,4,DB-13270,Deborah Brumfield,Home Office,United States,San Diego,California,West,OFF-PA-10000350,Office Supplies,Paper,Message Book,34.24,4,0,16.0928,0.47
94,US-2023-108182,2/6/2023,2/10/2023,Second Class,4,DL-13315,Delfina Latchford,Consumer,United States,Romeoville,Illinois,Central,OFF-BI-10001196,Office Supplies,Binders,Avery Flip-Chart Easel Binder,8.952,2,0.8,-14.7708,-1.65
95,US-2023-131905,2/6/2023,2/9/2023,First Class,3,ND-18460,Neil Ducich,Corporate,United States,Chesapeake,Virginia,South,OFF-LA-10002787,Office Supplies,Labels,Avery 480,15,4,0,7.2,0.48
96,US-2023-131905,2/6/2023,2/9/2023,First Class,3,ND-18460,Neil Ducich,Corporate,United States,Chesapeake,Virginia,South,TEC-PH-10001615,Technology,Phones,At&T Cl82213,144.95,5,0,42.0355,0.29
97,US-2023-131905,2/6/2023,2/9/2023,First Class,3,ND-18460,Neil Ducich,Corporate,United States,Chesapeake,Virginia,South,TEC-PH-10003645,Technology,Phones,Aastra 57I Voip Phone,161.61,1,0,42.0186,0.26
98,US-2023-169390,2/7/2023,2/10/2023,Second Class,3,CS-12250,Chris Selesnick,Corporate,United States,New York City,New York,East,OFF-ST-10001558,Office Supplies,Storage,Acco Perma 4000 Stacking Storage Drawers,64.96,4,0,9.744,0.15
99,US-2023-107755,2/7/2023,2/12/2023,Standard Class,5,CK-12760,Cyma Kinney,Corporate,United States,Linden,New Jersey,East,TEC-AC-10000710,Technology,Accessories,Maxell Dvd-Ram Discs,115.36,7,0,49.6048,0.43
100,US-2023-125759,2/8/2023,2/9/2023,First Class,1,NM-18445,Nathan Mautz,Home Office,United States,North Las Vegas,Nevada,West,FUR-FU-10002111,Furniture,Furnishings,Master Caster Door Stop,14.56,2,0,5.5328,0.38
101,US-2023-168368,2/11/2023,2/15/2023,Second Class,4,GA-14725,Guy Armstrong,Consumer,United States,Columbia,Missouri,Central,FUR-CH-10001146,Furniture,Chairs,Global Value Mid-Back Manager'S Chair,60.89,1,0,15.2225,0.25
102,US-2023-168368,2/11/2023,2/15/2023,Second Class,4,GA-14725,Guy Armstrong,Consumer,United States,Columbia,Missouri,Central,FUR-FU-10002298,Furniture,Furnishings,Rubbermaid Clustermat Chairmats,332.94,3,0,53.2704,0.16
103,US-2023-127614,2/11/2023,2/15/2023,Standard Class,4,NF-18385,Natalie Fritzler,Consumer,United States,Chesapeake,Virginia,South,FUR-TA-10003715,Furniture,Tables,Hon 2111 Invitation Series Corner Table,1256.22,6,0,75.3732,0.06
104,US-2023-127614,2/11/2023,2/15/2023,Standard Class,4,NF-18385,Natalie Fritzler,Consumer,United States,Chesapeake,Virginia,South,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders With Dubllock Round Rings,17.46,2,0,8.2062,0.47
105,US-2023-168368,2/11/2023,2/15/2023,Second Class,4,GA-14725,Guy Armstrong,Consumer,United States,Columbia,Missouri,Central,OFF-BI-10004654,Office Supplies,Binders,Varicap6 Expandable Binder,51.9,3,0,24.393,0.47
106,US-2023-168368,2/11/2023,2/15/2023,Second Class,4,GA-14725,Guy Armstrong,Consumer,United States,Columbia,Missouri,Central,OFF-BI-10004728,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool For Ring Binders,9.64,2,0,4.4344,0.46
107,US-2023-168368,2/11/2023,2/15/2023,Second Class,4,GA-14725,Guy Armstrong,Consumer,United States,Columbia,Missouri,Central,OFF-LA-10004853,Office Supplies,Labels,Avery 483,14.94,3,0,6.8724,0.46
108,US-2023-168368,2/11/2023,2/15/2023,Second Class,4,GA-14725,Guy Armstrong,Consumer,United States,Columbia,Missouri,Central,OFF-ST-10002583,Office Supplies,Storage,Fellowes Neat Ideas Storage Cubes,64.96,2,0,2.5984,0.04
109,US-2023-127614,2/11/2023,2/15/2023,Standard Class,4,NF-18385,Natalie Fritzler,Consumer,United States,Chesapeake,Virginia,South,TEC-AC-10001432,Technology,Accessories,Enermax Aurora Lite Keyboard,234.45,3,0,103.158,0.44
110,US-2023-110674,2/12/2023,2/18/2023,Standard Class,6,SC-20095,Sanjit Chand,Consumer,United States,Concord,California,West,FUR-CH-10000225,Furniture,Chairs,Global Geo Office Task Chair,129.568,2,0.2,-24.294,-0.19
111,US-2023-121762,2/14/2023,2/18/2023,Standard Class,4,ML-17395,Marina Lichtenstein,Corporate,United States,Seattle,Washington,West,OFF-AP-10001293,Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,81.96,2,0,22.9488,0.28
